"sampleIDs","group"
"TCGA-VS-A8EI-01A-11R-A37O-07","Tumor"
"TCGA-FU-A3HZ-01A-11R-A213-07","Tumor"
"TCGA-DS-A7WH-01A-22R-A352-07","Tumor"
"TCGA-EA-A1QS-01A-61R-A22U-07","Tumor"
"TCGA-EK-A2RM-01A-21R-A18M-07","Tumor"
"TCGA-MA-AA3Z-01A-11R-A38B-07","Tumor"
"TCGA-ZJ-AAX4-01A-11R-A42T-07","Tumor"
"TCGA-EA-A5O9-01A-11R-A28H-07","Tumor"
"TCGA-LP-A7HU-01A-11R-A33Z-07","Tumor"
"TCGA-MA-AA3Y-01A-11R-A38B-07","Tumor"
"TCGA-VS-A9UB-01A-22R-A42T-07","Tumor"
"TCGA-VS-A954-01A-11R-A38B-07","Tumor"
"TCGA-Q1-A73S-01A-11R-A33Z-07","Tumor"
"TCGA-VS-A9UP-01A-11R-A42T-07","Tumor"
"TCGA-EK-A2RC-01A-11R-A18M-07","Tumor"
"TCGA-EA-A439-01A-11R-A24H-07","Tumor"
"TCGA-DS-A7WF-01A-11R-A352-07","Tumor"
"TCGA-DS-A1OB-01A-11R-A14Y-07","Tumor"
"TCGA-PN-A8MA-01A-11R-A36F-07","Tumor"
"TCGA-FU-A3TQ-01A-11R-A22U-07","Tumor"
"TCGA-LP-A4AW-01A-11R-A24H-07","Tumor"
"TCGA-WL-A834-01A-11R-A352-07","Tumor"
"TCGA-Q1-A73Q-01A-21R-A32P-07","Tumor"
"TCGA-C5-A2LV-01A-11R-A18M-07","Tumor"
"TCGA-C5-A1BF-01B-11R-A13Y-07","Tumor"
"TCGA-DG-A2KM-01A-11R-A180-07","Tumor"
"TCGA-C5-A1MN-01A-11R-A14Y-07","Tumor"
"TCGA-JW-A852-01A-11R-A352-07","Tumor"
"TCGA-EK-A3GK-01A-11R-A213-07","Tumor"
"TCGA-JW-A5VK-01A-11R-A28H-07","Tumor"
"TCGA-C5-A902-01A-11R-A37O-07","Tumor"
"TCGA-EA-A50E-01A-21R-A26T-07","Tumor"
"TCGA-DG-A2KJ-01A-11R-A32Y-07","Tumor"
"TCGA-C5-A1BJ-01A-11R-A13Y-07","Tumor"
"TCGA-MA-AA3W-01A-11R-A38B-07","Tumor"
"TCGA-C5-A8ZZ-01A-11R-A37O-07","Tumor"
"TCGA-DR-A0ZL-01A-11R-A10U-07","Tumor"
"TCGA-MY-A5BF-11A-11R-A26T-07","Normal"
"TCGA-FU-A3EO-11A-13R-A213-07","Normal"
"TCGA-HM-A3JJ-11A-12R-A21T-07","Normal"
